----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
            SiLU-345          [-1, 864, 16, 16]               0
          Conv2d-346          [-1, 864, 16, 16]           7,776
     BatchNorm2d-347          [-1, 864, 16, 16]           1,728
            SiLU-348          [-1, 864, 16, 16]               0
AdaptiveAvgPool2d-349            [-1, 864, 1, 1]               0
          Conv2d-350             [-1, 36, 1, 1]          31,140
            SiLU-351             [-1, 36, 1, 1]               0
          Conv2d-352            [-1, 864, 1, 1]          31,968
         Sigmoid-353            [-1, 864, 1, 1]               0
SqueezeExcitation-354          [-1, 864, 16, 16]               0
          Conv2d-355          [-1, 144, 16, 16]         124,416
     BatchNorm2d-356          [-1, 144, 16, 16]             288
 StochasticDepth-357          [-1, 144, 16, 16]               0
          MBConv-358          [-1, 144, 16, 16]               0
          Conv2d-359          [-1, 864, 16, 16]         124,416
     BatchNorm2d-360          [-1, 864, 16, 16]           1,728
            SiLU-361          [-1, 864, 16, 16]               0
          Conv2d-362          [-1, 864, 16, 16]          21,600
     BatchNorm2d-363          [-1, 864, 16, 16]           1,728
            SiLU-364          [-1, 864, 16, 16]               0
AdaptiveAvgPool2d-365            [-1, 864, 1, 1]               0
          Conv2d-366             [-1, 36, 1, 1]          31,140
            SiLU-367             [-1, 36, 1, 1]               0
          Conv2d-368            [-1, 864, 1, 1]          31,968
         Sigmoid-369            [-1, 864, 1, 1]               0
SqueezeExcitation-370          [-1, 864, 16, 16]               0
          Conv2d-371          [-1, 200, 16, 16]         172,800
     BatchNorm2d-372          [-1, 200, 16, 16]             400
          MBConv-373          [-1, 200, 16, 16]               0
          Conv2d-374         [-1, 1200, 16, 16]         240,000
     BatchNorm2d-375         [-1, 1200, 16, 16]           2,400
            SiLU-376         [-1, 1200, 16, 16]               0
          Conv2d-377         [-1, 1200, 16, 16]          30,000
     BatchNorm2d-378         [-1, 1200, 16, 16]           2,400
            SiLU-379         [-1, 1200, 16, 16]               0
AdaptiveAvgPool2d-380           [-1, 1200, 1, 1]               0
          Conv2d-381             [-1, 50, 1, 1]          60,050
            SiLU-382             [-1, 50, 1, 1]               0
          Conv2d-383           [-1, 1200, 1, 1]          61,200
         Sigmoid-384           [-1, 1200, 1, 1]               0
SqueezeExcitation-385         [-1, 1200, 16, 16]               0
          Conv2d-386          [-1, 200, 16, 16]         240,000
     BatchNorm2d-387          [-1, 200, 16, 16]             400
 StochasticDepth-388          [-1, 200, 16, 16]               0
          MBConv-389          [-1, 200, 16, 16]               0
          Conv2d-390         [-1, 1200, 16, 16]         240,000
     BatchNorm2d-391         [-1, 1200, 16, 16]           2,400
            SiLU-392         [-1, 1200, 16, 16]               0
          Conv2d-393         [-1, 1200, 16, 16]          30,000
     BatchNorm2d-394         [-1, 1200, 16, 16]           2,400
            SiLU-395         [-1, 1200, 16, 16]               0
AdaptiveAvgPool2d-396           [-1, 1200, 1, 1]               0
          Conv2d-397             [-1, 50, 1, 1]          60,050
            SiLU-398             [-1, 50, 1, 1]               0
          Conv2d-399           [-1, 1200, 1, 1]          61,200
         Sigmoid-400           [-1, 1200, 1, 1]               0
SqueezeExcitation-401         [-1, 1200, 16, 16]               0
          Conv2d-402          [-1, 200, 16, 16]         240,000
     BatchNorm2d-403          [-1, 200, 16, 16]             400
 StochasticDepth-404          [-1, 200, 16, 16]               0
          MBConv-405          [-1, 200, 16, 16]               0
          Conv2d-406         [-1, 1200, 16, 16]         240,000
     BatchNorm2d-407         [-1, 1200, 16, 16]           2,400
            SiLU-408         [-1, 1200, 16, 16]               0
          Conv2d-409         [-1, 1200, 16, 16]          30,000
     BatchNorm2d-410         [-1, 1200, 16, 16]           2,400
            SiLU-411         [-1, 1200, 16, 16]               0
AdaptiveAvgPool2d-412           [-1, 1200, 1, 1]               0
          Conv2d-413             [-1, 50, 1, 1]          60,050
            SiLU-414             [-1, 50, 1, 1]               0
          Conv2d-415           [-1, 1200, 1, 1]          61,200
         Sigmoid-416           [-1, 1200, 1, 1]               0
SqueezeExcitation-417         [-1, 1200, 16, 16]               0
          Conv2d-418          [-1, 200, 16, 16]         240,000
     BatchNorm2d-419          [-1, 200, 16, 16]             400
 StochasticDepth-420          [-1, 200, 16, 16]               0
          MBConv-421          [-1, 200, 16, 16]               0
          Conv2d-422         [-1, 1200, 16, 16]         240,000
     BatchNorm2d-423         [-1, 1200, 16, 16]           2,400
            SiLU-424         [-1, 1200, 16, 16]               0
          Conv2d-425         [-1, 1200, 16, 16]          30,000
     BatchNorm2d-426         [-1, 1200, 16, 16]           2,400
            SiLU-427         [-1, 1200, 16, 16]               0
AdaptiveAvgPool2d-428           [-1, 1200, 1, 1]               0
          Conv2d-429             [-1, 50, 1, 1]          60,050
            SiLU-430             [-1, 50, 1, 1]               0
          Conv2d-431           [-1, 1200, 1, 1]          61,200
         Sigmoid-432           [-1, 1200, 1, 1]               0
SqueezeExcitation-433         [-1, 1200, 16, 16]               0
          Conv2d-434          [-1, 200, 16, 16]         240,000
     BatchNorm2d-435          [-1, 200, 16, 16]             400
 StochasticDepth-436          [-1, 200, 16, 16]               0
          MBConv-437          [-1, 200, 16, 16]               0
          Conv2d-438         [-1, 1200, 16, 16]         240,000
     BatchNorm2d-439         [-1, 1200, 16, 16]           2,400
            SiLU-440         [-1, 1200, 16, 16]               0
          Conv2d-441         [-1, 1200, 16, 16]          30,000
     BatchNorm2d-442         [-1, 1200, 16, 16]           2,400
            SiLU-443         [-1, 1200, 16, 16]               0
AdaptiveAvgPool2d-444           [-1, 1200, 1, 1]               0
          Conv2d-445             [-1, 50, 1, 1]          60,050
            SiLU-446             [-1, 50, 1, 1]               0
          Conv2d-447           [-1, 1200, 1, 1]          61,200
         Sigmoid-448           [-1, 1200, 1, 1]               0
SqueezeExcitation-449         [-1, 1200, 16, 16]               0
          Conv2d-450          [-1, 200, 16, 16]         240,000
     BatchNorm2d-451          [-1, 200, 16, 16]             400
 StochasticDepth-452          [-1, 200, 16, 16]               0
          MBConv-453          [-1, 200, 16, 16]               0
          Conv2d-454         [-1, 1200, 16, 16]         240,000
     BatchNorm2d-455         [-1, 1200, 16, 16]           2,400
            SiLU-456         [-1, 1200, 16, 16]               0
          Conv2d-457         [-1, 1200, 16, 16]          30,000
     BatchNorm2d-458         [-1, 1200, 16, 16]           2,400
            SiLU-459         [-1, 1200, 16, 16]               0
AdaptiveAvgPool2d-460           [-1, 1200, 1, 1]               0
          Conv2d-461             [-1, 50, 1, 1]          60,050
            SiLU-462             [-1, 50, 1, 1]               0
          Conv2d-463           [-1, 1200, 1, 1]          61,200
         Sigmoid-464           [-1, 1200, 1, 1]               0
SqueezeExcitation-465         [-1, 1200, 16, 16]               0
          Conv2d-466          [-1, 200, 16, 16]         240,000
     BatchNorm2d-467          [-1, 200, 16, 16]             400
 StochasticDepth-468          [-1, 200, 16, 16]               0
          MBConv-469          [-1, 200, 16, 16]               0
          Conv2d-470         [-1, 1200, 16, 16]         240,000
     BatchNorm2d-471         [-1, 1200, 16, 16]           2,400
            SiLU-472         [-1, 1200, 16, 16]               0
          Conv2d-473         [-1, 1200, 16, 16]          30,000
     BatchNorm2d-474         [-1, 1200, 16, 16]           2,400
            SiLU-475         [-1, 1200, 16, 16]               0
AdaptiveAvgPool2d-476           [-1, 1200, 1, 1]               0
          Conv2d-477             [-1, 50, 1, 1]          60,050
            SiLU-478             [-1, 50, 1, 1]               0
          Conv2d-479           [-1, 1200, 1, 1]          61,200
         Sigmoid-480           [-1, 1200, 1, 1]               0
SqueezeExcitation-481         [-1, 1200, 16, 16]               0
          Conv2d-482          [-1, 200, 16, 16]         240,000
     BatchNorm2d-483          [-1, 200, 16, 16]             400
 StochasticDepth-484          [-1, 200, 16, 16]               0
          MBConv-485          [-1, 200, 16, 16]               0
          Conv2d-486         [-1, 1200, 16, 16]         240,000
     BatchNorm2d-487         [-1, 1200, 16, 16]           2,400
            SiLU-488         [-1, 1200, 16, 16]               0
          Conv2d-489           [-1, 1200, 8, 8]          30,000
     BatchNorm2d-490           [-1, 1200, 8, 8]           2,400
            SiLU-491           [-1, 1200, 8, 8]               0
AdaptiveAvgPool2d-492           [-1, 1200, 1, 1]               0
          Conv2d-493             [-1, 50, 1, 1]          60,050
            SiLU-494             [-1, 50, 1, 1]               0
          Conv2d-495           [-1, 1200, 1, 1]          61,200
         Sigmoid-496           [-1, 1200, 1, 1]               0
SqueezeExcitation-497           [-1, 1200, 8, 8]               0
          Conv2d-498            [-1, 344, 8, 8]         412,800
     BatchNorm2d-499            [-1, 344, 8, 8]             688
          MBConv-500            [-1, 344, 8, 8]               0
          Conv2d-501           [-1, 2064, 8, 8]         710,016
     BatchNorm2d-502           [-1, 2064, 8, 8]           4,128
            SiLU-503           [-1, 2064, 8, 8]               0
          Conv2d-504           [-1, 2064, 8, 8]          51,600
     BatchNorm2d-505           [-1, 2064, 8, 8]           4,128
            SiLU-506           [-1, 2064, 8, 8]               0
AdaptiveAvgPool2d-507           [-1, 2064, 1, 1]               0
          Conv2d-508             [-1, 86, 1, 1]         177,590
            SiLU-509             [-1, 86, 1, 1]               0
          Conv2d-510           [-1, 2064, 1, 1]         179,568
         Sigmoid-511           [-1, 2064, 1, 1]               0
